Id,citation,female,age,N,Mean_CU,N_CU,SD_CU,Mean_ctrl,N_ctrl,SD_ctrl,R,Outcome,Eff,Eff_var,Age_CU,Age_CU_sd,female_CU,Age_ctrl,Age_ctrl_SD,female_ctrl,CU_resp,Out_resp,Samp_typ,age_SD,d,CU_resp.R,Out_resp.R,Same_diff,Same_diff.R,Samp_typ.R,CU_Rel,Out_Rel,
16,Gillen et al. (2018),34,15.24,144,NA,NA,NA,NA,NA,NA,-0.27,empathy_aff,-0.276863823,0.007092199,NA,NA,NA,NA,NA,NA,0,0,1,1.59,NA,self,self,0,same,referred/Clinical,NA,0.71,
16,Gillen et al. (2018),34,15.24,144,NA,NA,NA,NA,NA,NA,-0.25,empathy_tot,-0.255412812,0.007092199,NA,NA,NA,NA,NA,NA,0,0,1,1.59,NA,self,self,0,same,referred/Clinical,NA,0.71,
17,Gostisha et al. (2014),0,16.09,50,NA,NA,NA,NA,NA,NA,-0.39,empathy_tot,-0.411800034,0.021276596,NA,NA,NA,NA,NA,NA,0,0,1,1.06,NA,Self,Self,0,Same,Referred/Clinical,0.83,0.7,
18,Hawes & Dadds (2007),0,6.29,56,NA,NA,NA,NA,NA,NA,-0.506,prosocial,-0.557338446,0.018867925,NA,NA,NA,NA,NA,NA,1,1,1,1.55,NA,Other,Other,0,Same,Referred/Clinical,0.92,0.88,
19,Hawes et al. (2014),0,8.99,150,NA,NA,NA,NA,NA,NA,-0.548,prosocial,-0.615518437,0.006802721,NA,NA,NA,NA,NA,NA,1,1,1,1.84,NA,Other,Other,0,Same,Referred/Clinical,0.8,0.79,
20,Hogstrom et al. (2013),45.6,6.65,57,4.38,8,2.67,6.68,49,1.8,-0.382028894,prosocial,-0.402433105,0.018518519,6,NA,25,6.76,NA,49,1,1,0,2.29,-1.190105294,Other,Other,0,Same,Community/Non-clincal,0.79,0.7,
21,Holmqvist (2008),0,17,47,NA,NA,NA,NA,NA,NA,-0.48,empathy_tot,-0.522984278,0.022727273,NA,NA,NA,NA,NA,NA,1,0,1,11.2,NA,Other,Self,1,Different,Referred/Clinical,NA,NA,
21,Holmqvist (2008),0,17,47,NA,NA,NA,NA,NA,NA,-0.26,guilt,-0.266108407,0.022727273,NA,NA,NA,NA,NA,NA,1,0,1,11.2,NA,Other,Self,1,Different,Referred/Clinical,0.52,0.68,
22,Kahn et al. (2017),0,15.5,112,NA,NA,NA,NA,NA,NA,-0.29,empathy_cog,-0.298566264,0.009174312,NA,NA,NA,NA,NA,NA,0,0,0,1.3,NA,Self,Self,0,Same,Community/Non-clincal,0.72,0.78,
22,Kahn et al. (2017),0,15.5,112,NA,NA,NA,NA,NA,NA,-0.34,empathy_aff,-0.354092529,0.009174312,NA,NA,NA,NA,NA,NA,0,0,0,1.3,NA,Self,Self,0,Same,Community/Non-clincal,0.72,0.7,
22,Kahn et al. (2017),0,15.5,112,NA,NA,NA,NA,NA,NA,-0.456,empathy_tot,-0.492249491,0.009174312,NA,NA,NA,NA,NA,NA,0,0,0,1.3,NA,Self,Self,0,Same,Community/Non-clincal,0.76,0.83,
23,Kimonis et al. (2008),24.2,15.47,248,NA,NA,NA,NA,NA,NA,-0.51,empathy_tot,-0.562729769,0.004081633,NA,NA,NA,NA,NA,NA,0,0,1,1.37,NA,Self,Self,0,Same,Referred/Clinical,0.81,0.65,
24,Kimonis et al. (2016),46.7,4.7,214,NA,NA,NA,NA,NA,NA,-0.15,empathy_aff,-0.151140436,0.004739336,NA,NA,NA,NA,NA,NA,1,1,0,0.69,NA,Other,Other,0,Same,Community/Non-clincal,0.85,0.52,
24,Kimonis et al. (2016),46.7,4.7,214,NA,NA,NA,NA,NA,NA,-0.33,empathy_cog,-0.342828254,0.004739336,NA,NA,NA,NA,NA,NA,1,1,0,0.69,NA,Other,Other,0,Same,Community/Non-clincal,0.85,0.76,
24,Kimonis et al. (2016),46.7,4.7,214,NA,NA,NA,NA,NA,NA,-0.32,empathy_tot,-0.331647109,0.004739336,NA,NA,NA,NA,NA,NA,1,1,0,0.69,NA,Other,Other,0,Same,Community/Non-clincal,0.85,0.69,
24,Kimonis et al. (2016),46.7,4.7,214,NA,NA,NA,NA,NA,NA,-0.56,prosocial,-0.632833187,0.004739336,NA,NA,NA,NA,NA,NA,1,1,0,0.69,NA,Other,Other,0,Same,Community/Non-clincal,0.8,0.73,
25,Kongerslev et al. (2015),0,16.5,80,NA,NA,NA,NA,NA,NA,-0.82,empathy_tot,-1.156817465,0.012987013,NA,NA,NA,NA,NA,NA,0,0,1,0.8,NA,self,self,0,same,referred/Clinical,0.89,0.93,
26,Liu et al. (2018),47.9,11.54,860,NA,NA,NA,NA,NA,NA,-0.35,empathy_tot,-0.365443754,0.001166861,NA,NA,NA,NA,NA,NA,0,0,0,0.64,NA,self,self,0,Same,community/Non-clincal,0.83,0.92,
26,Liu et al. (2018),47.9,11.54,860,NA,NA,NA,NA,NA,NA,-0.38,empathy_aff,-0.40005965,0.001166861,NA,NA,NA,NA,NA,NA,0,0,0,0.64,NA,self,self,0,Same,community/Non-clincal,0.83,0.79,
26,Liu et al. (2018),47.9,11.54,860,NA,NA,NA,NA,NA,NA,-0.32,empathy_cog,-0.331647109,0.001166861,NA,NA,NA,NA,NA,NA,0,0,0,0.64,NA,self,self,0,Same,community/Non-clincal,0.83,0.86,
27,Lopez-Romero et al. (2015a),27.5,16.13,324,NA,NA,NA,NA,NA,NA,-0.51,empathy_tot,-0.562729769,0.003115265,NA,NA,NA,NA,NA,NA,0,0,1,1.98,NA,Self,Self,0,Same,Referred/Clinical,0.88,0.78,
28,Lopez-Romero et al. (2015b),27.6,8.05,192,NA,NA,NA,NA,NA,NA,-0.21,empathy_tot,-0.213171347,0.005291005,NA,NA,NA,NA,NA,NA,1,0,0,1.49,NA,Other,Self,1,Different,Community/Non-clincal,NA,0.5,
29,López-Romero et al. (2018),51.4,7.32,449,NA,NA,NA,NA,NA,NA,-0.62,prosocial,-0.725005088,0.002242152,NA,NA,NA,NA,NA,NA,1,1,0,2.69,NA,other,other,0,same,community/Non-clincal,0.73,0.88,
30,Lotze et al. (2010),62,9.8,50,NA,NA,NA,NA,NA,NA,-0.35,guilt,-0.365443754,0.021276596,NA,NA,NA,NA,NA,NA,0,0,0,1.5,NA,Self,Self,0,Same,Community/Non-clincal,0.58,0.77,
31,Lui et al. (2016),32,16.9,103,NA,NA,NA,NA,NA,NA,-0.23,empathy_aff,-0.234189467,0.01,NA,NA,NA,NA,NA,NA,0,0,1,0.72,NA,Self,Self,0,Same,Referred/Clinical,0.76,0.54,
31,Lui et al. (2016),32,16.9,103,NA,NA,NA,NA,NA,NA,-0.37,empathy_cog,-0.3884231,0.01,NA,NA,NA,NA,NA,NA,0,0,1,0.72,NA,Self,Self,0,Same,Referred/Clinical,0.76,NA,
31,Lui et al. (2016),32,16.9,103,NA,NA,NA,NA,NA,NA,-0.428,empathy_tot,-0.457445576,0.01,NA,NA,NA,NA,NA,NA,0,0,1,0.72,NA,Self,Self,0,Same,Referred/Clinical,0.78,0.68,
32,Malcolm-Smith et al. (2015),36.8,6.58,114,NA,NA,NA,NA,NA,NA,-0.46,empathy_tot,-0.497311288,0.009009009,NA,NA,NA,NA,NA,NA,1,1,0,0.43,NA,Other,Other,0,Same,Community/Non-clincal,0.72,0.6,
33,Martin-Key et al. (2017),0,16.03162162,37,12.95,20,5.74,14.82,17,3.71,-0.186211291,empathy_tot,-0.188409478,0.029411765,16.56,NA,0,15.41,NA,0,0,0,1,1.17,-0.380304461,Self,Self,0,Same,Referred/Clinical,0.78,0.82,
34,McDonald et al. (2018),47,9.07,291,NA,NA,NA,NA,NA,NA,-0.18,empathy_tot,-0.181982689,0.003472222,NA,NA,NA,NA,NA,NA,1,1,0,1.64,NA,other,other,0,Same,community/Non-clincal,NA,0.84,
34,McDonald et al. (2018),47,9.07,291,NA,NA,NA,NA,NA,NA,0.09,empathy_aff,0.090244188,0.003472222,NA,NA,NA,NA,NA,NA,1,1,0,1.64,NA,other,other,0,Same,community/Non-clincal,NA,0.75,
34,McDonald et al. (2018),47,9.07,291,NA,NA,NA,NA,NA,NA,-0.39,empathy_cog,-0.411800034,0.003472222,NA,NA,NA,NA,NA,NA,1,1,0,1.64,NA,other,other,0,Same,community/Non-clincal,NA,0.89,
35,Meehan et al. (2017),51.11,13,6791,NA,NA,NA,NA,NA,NA,-0.494,prosocial,-0.541337848,0.000147319,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,Other,Other,0,Same,Community/Non-clincal,0.75,NA,
36,Milone et al. (2019),0,13.27,60,NA,NA,NA,NA,NA,NA,-0.29,empathy_tot,-0.298566264,0.01754386,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,self,self,0,same,Referred/Clinical,0.86,0.75,
37,Munoz et al. (2011),50,11.5,201,NA,NA,NA,NA,NA,NA,-0.53,empathy_aff,-0.59014516,0.005050505,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Self,Self,0,Same,Community/Non-clincal,0.83,0.77,
37,Munoz et al. (2011),50,11.5,201,NA,NA,NA,NA,NA,NA,-0.43,empathy_cog,-0.459896681,0.005050505,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Self,Self,0,Same,Community/Non-clincal,0.83,0.8,
37,Munoz et al. (2011),50,11.5,201,NA,NA,NA,NA,NA,NA,-0.561,empathy_tot,-0.634291254,0.005050505,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Self,Self,0,Same,Community/Non-clincal,0.8,NA,
38,O'Kearney et al. (2017),0,5.8,74,-4.81,22,3.87,6.96,25,3.24,-0.855936294,empathy_aff,-1.27794449,0.022727273,5.8,NA,0,5.8,NA,0,1,1,0,NA,-3.317409857,Other,Other,0,Same,Community/Non-clincal,0.76,0.62,
38,O'Kearney et al. (2017),0,5.8,74,-0.67,22,7.8,4.34,25,1.5,-0.417569118,empathy_cog,-0.444744137,0.022727273,5.8,NA,0,5.8,NA,0,1,1,0,NA,-0.920980779,Other,Other,0,Same,Community/Non-clincal,0.74,0.83,
40,Pardini et al. (2003),42.6,15.8,169,NA,NA,NA,NA,NA,NA,-0.55,empathy_tot,-0.618381314,0.006024096,NA,NA,NA,NA,NA,NA,0,0,1,1.26,NA,Self,Self,0,Same,Referred/Clinical,0.59,0.69,
41,Pasalich et al. (2014),21,5.6,134,NA,NA,NA,NA,NA,NA,-0.29,empathy_aff,-0.298566264,0.007633588,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Other,Other,0,Same,Referred/Clinical,0.8,0.7,
41,Pasalich et al. (2014),21,5.6,134,NA,NA,NA,NA,NA,NA,-0.45,empathy_cog,-0.484700279,0.007633588,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Other,Other,0,Same,Referred/Clinical,0.8,0.75,
41,Pasalich et al. (2014),21,5.6,134,NA,NA,NA,NA,NA,NA,-0.524,empathy_tot,-0.581837941,0.007633588,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,Other,Other,0,Same,Referred/Clinical,0.76,0.83,
42,Pechorro et al. (2013),0,15.85,217,NA,NA,NA,NA,NA,NA,-0.46,prosocial,-0.497311288,0.004672897,NA,NA,NA,NA,NA,NA,0,0,1,1.3,NA,Self,Self,0,Same,Referred/Clinical,0.85,0.76,
42,Pechorro et al. (2013),100,15.75,44,NA,NA,NA,NA,NA,NA,-0.27,prosocial,-0.276863823,0.024390244,NA,NA,NA,NA,NA,NA,0,0,1,1.3,NA,Self,Self,0,Same,Referred/Clinical,0.52,0.68,
43,Pechorro et al. (2015a),0,15.83,201,NA,NA,NA,NA,NA,NA,-0.42,prosocial,-0.447692024,0.005050505,NA,NA,NA,NA,NA,NA,0,0,1,1.3,NA,Self,Self,0,Same,Referred/Clinical,0.53,0.67,
43,Pechorro et al. (2015a),100,15.89,98,NA,NA,NA,NA,NA,NA,-0.49,prosocial,-0.536060337,0.010526316,NA,NA,NA,NA,NA,NA,0,0,1,1.28,NA,Self,Self,0,Same,Referred/Clinical,0.59,0.57,
44,Pechorro et al. (2015b),0,16.75,221,NA,NA,NA,NA,NA,NA,-0.43,empathy_aff,-0.459896681,0.004587156,NA,NA,NA,NA,NA,NA,0,0,0,1.41,NA,Self,Self,0,Same,Community/Non-clincal,0.9,0.87,
44,Pechorro et al. (2015b),0,16.75,221,NA,NA,NA,NA,NA,NA,-0.28,empathy_cog,-0.287682072,0.004587156,NA,NA,NA,NA,NA,NA,0,0,0,1.41,NA,Self,Self,0,Same,Community/Non-clincal,0.9,0.9,
44,Pechorro et al. (2015b),0,16.75,221,NA,NA,NA,NA,NA,NA,-0.41,empathy_tot,-0.435611223,0.004587156,NA,NA,NA,NA,NA,NA,0,0,0,1.41,NA,Self,Self,0,Same,Community/Non-clincal,0.9,0.91,
45,Pechorro et al. (2016),0,17.5,438,NA,NA,NA,NA,NA,NA,-0.46,empathy_aff,-0.497311288,0.002298851,NA,NA,NA,NA,NA,NA,0,0,0,1.76,NA,Self,Self,0,Same,Community/Non-clincal,0.91,0.87,
45,Pechorro et al. (2016),0,17.5,438,NA,NA,NA,NA,NA,NA,-0.38,empathy_cog,-0.40005965,0.002298851,NA,NA,NA,NA,NA,NA,0,0,0,1.76,NA,Self,Self,0,Same,Community/Non-clincal,0.91,0.9,
45,Pechorro et al. (2016),0,17.5,438,NA,NA,NA,NA,NA,NA,-0.49,empathy_tot,-0.536060337,0.002298851,NA,NA,NA,NA,NA,NA,0,0,0,1.76,NA,Self,Self,0,Same,Community/Non-clincal,0.91,0.91,
46,Pechorro et al. (2017),100,16.23,377,NA,NA,NA,NA,NA,NA,-0.23,empathy_aff,-0.234189467,0.002673797,NA,NA,NA,NA,NA,NA,0,0,0,138,NA,Self,Self,0,Same,Community/Non-clincal,0.86,0.83,
46,Pechorro et al. (2017),100,16.23,377,NA,NA,NA,NA,NA,NA,-0.22,empathy_cog,-0.223656109,0.002673797,NA,NA,NA,NA,NA,NA,0,0,0,138,NA,Self,Self,0,Same,Community/Non-clincal,0.86,0.91,
46,Pechorro et al. (2017),100,16.23,377,NA,NA,NA,NA,NA,NA,-0.28,empathy_tot,-0.287682072,0.002673797,NA,NA,NA,NA,NA,NA,0,0,0,138,NA,Self,Self,0,Same,Community/Non-clincal,0.86,0.88,
47,Pijper et al. (2016),0,10.28,49,NA,NA,NA,NA,NA,NA,-0.08,empathy_aff,-0.080171325,0.02173913,NA,NA,NA,NA,NA,NA,1,0,1,1.31,NA,Other,Self,1,Different,Referred/Clinical,0.58,0.72,
47,Pijper et al. (2016),0,10.28,49,NA,NA,NA,NA,NA,NA,0.02,empathy_cog,0.020002667,0.02173913,NA,NA,NA,NA,NA,NA,1,0,1,1.31,NA,Other,Self,1,Different,Referred/Clinical,NA,NA,
48,Raine and Chen (2018),49,11,428,NA,NA,NA,NA,NA,NA,-0.34,empathy_tot,-0.354092529,0.002352941,NA,NA,NA,NA,NA,NA,0,0,0,,NA,self,self,0,same,community/Non-clincal,0.62,0.91,
48,Raine and Chen (2018),49,11,428,NA,NA,NA,NA,NA,NA,-0.34,empathy_aff,-0.354092529,0.002352941,NA,NA,NA,NA,NA,NA,0,0,0,,NA,self,self,0,same,community/Non-clincal,0.62,0.81,
48,Raine and Chen (2018),49,11,428,NA,NA,NA,NA,NA,NA,-0.34,empathy_cog,-0.354092529,0.002352941,NA,NA,NA,NA,NA,NA,0,0,0,,NA,self,self,0,same,community/Non-clincal,0.62,0.79,
49,Roose et al. (2010),44,16.6,455,NA,NA,NA,NA,NA,NA,-0.31,empathy_tot,-0.320545409,0.002212389,NA,NA,NA,NA,NA,NA,1,0,0,1.34,NA,Other,Self,1,Different,Community/Non-clincal,NA,NA,
50,Spice et al. (2015),29.9,15.88,97,NA,NA,NA,NA,NA,NA,-0.38,guilt,-0.40005965,0.010638298,NA,NA,NA,NA,NA,NA,0,0,1,1.15,NA,self,self,0,same,referred/Clinical,0.88,0.86,
51,Stickle et al. (2012),40,15.2,150,NA,NA,NA,NA,NA,NA,-0.289,empathy_tot,-0.297474787,0.006802721,NA,NA,NA,NA,NA,NA,1,1,1,1.4,NA,Other,Other,0,Same,Referred/Clinical,0.81,0.81,
52,Vahl et al. (2014),0,16.5,365,NA,NA,NA,NA,NA,NA,-0.22,prosocial,-0.223656109,0.002762431,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,Self,Self,0,Same,Referred/Clinical,0.8,NA,
53,van Baardewijk et al. (2008),48,10.9,360,NA,NA,NA,NA,NA,NA,-0.26,empathy_tot,-0.266108407,0.00280112,NA,NA,NA,NA,NA,NA,0,0,0,nA,nA,self,self,0,same,community/Non-clincal,NA,0.78,
54,van Vugt et al. (2012),0,17.54,85,NA,NA,NA,NA,NA,NA,-0.41,empathy_aff,-0.435611223,0.012195122,NA,NA,NA,NA,NA,NA,0,0,1,2.22,NA,Self,Self,0,Same,Referred/Clinical,0.78,0.67,
54,van Vugt et al. (2012),0,17.54,85,NA,NA,NA,NA,NA,NA,-0.35,empathy_cog,-0.365443754,0.012195122,NA,NA,NA,NA,NA,NA,0,0,1,2.22,NA,Self,Self,0,Same,Referred/Clinical,0.78,NA,
54,van Vugt et al. (2012),0,17.54,85,NA,NA,NA,NA,NA,NA,-0.285,empathy_tot,-0.293115727,0.012195122,NA,NA,NA,NA,NA,NA,0,0,1,2.22,NA,Self,Self,0,Same,Referred/Clinical,0.62,0.59,
55,Verschuere et al. (2012),0,16.75,57,NA,NA,NA,NA,NA,NA,-0.3,empathy_tot,-0.309519604,0.018518519,NA,NA,NA,NA,NA,NA,0,0,1,1.68,NA,Self,Self,0,same,referred/Clinical,0.86,0.7,
56,Viding et al. (2009),47,12,704,NA,NA,NA,NA,NA,NA,-0.55,prosocial,-0.618381314,0.001426534,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Self,Self,0,Same,Community/Non-clincal,0.81,0.68,
57,Waller et al. (2015),49.16,3.416666667,240,NA,NA,NA,NA,NA,NA,-0.27,empathy_tot,-0.276863823,0.004219409,NA,NA,NA,NA,NA,NA,1,1,0,2.09,NA,Other,Other,0,Same,Community/Non-clincal,0.59,0.89,
57,Waller et al. (2015),49.16,3.416666667,240,NA,NA,NA,NA,NA,NA,-0.22,guilt,-0.223656109,0.004219409,NA,NA,NA,NA,NA,NA,1,1,0,2.09,NA,Other,Other,0,Same,Community/Non-clincal,0.59,0.71,
58,Wendt et al. (2017),53,10,249,NA,NA,NA,NA,NA,NA,-0.568,prosocial,-0.644565306,0.004065041,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Self,Self,0,Same,Community/Non-clincal,0.71,0.75,
59,Whitt & Howard (2013),13.01272984,15.5,707,NA,NA,NA,NA,NA,NA,-0.18,empathy_tot,-0.181982689,0.001420455,NA,NA,NA,NA,NA,NA,0,0,1,1.2,NA,Self,Self,0,Same,Referred/Clinical,0.57,NA,
60,Willoughby et al. (2015),50,7.3,1078,NA,NA,NA,NA,NA,NA,-0.58,prosocial,-0.662462707,0.000930233,NA,NA,NA,NA,NA,NA,1,1,0,0.3,NA,Other,Other,0,Same,Community/Non-clincal,NA,0.54,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
