,Citation,Country,N,Mean age,% female,Type of sample,CU traits measure,CU traits respondent,Empathy measure,Prosocial,Guilt measure,Outcome respondent
21,Holmqvist (2008),Sweden,47,17,0,Incarcerated,PCL:SV,Interviewer,EI,,HCR - 20,Self
22,"Kahn, Frick, Golmaryami, and Marsee (2017)",USA,107,15.5,0,Community,ICU,Self,BES,,,Self
23,Kimonis et al. (2008),USA,248,15.47,24.2,Incarcerated,ICU,Self,EQI,,,Self
24,"Kimonis, et al. (2016)",USA,214,4.7,46.7,Community,ICU,Parent & Teacher,GEM,SDQ,,Parent
25,"Kongerslev, Bo, Forth, and Simonsen (2015)",Denmark,80,16.5,0,Incarcerated,ICU,Self,IRI,,,Self
26,"Liu, Qiao, Dong, and Raine (2018)",China,860,11.54,47.9,Community,ICU,Self,CASES,,,Self
27,"López-Romero, Gómez-Fraguela, and Romero (2015)",Spain,324,16.13,27.5,Incarcerated,ICU,Self,BES,,,Self
28,"López-Romero, Romero, and Andershed (2015)",Spain,192,8.05,27.6,Community,ICU,Self,BES,,,Self
29,López-Romero et al. (2018),Spain,449,7.43,51.40%,Community,APSD,Teacher,,SDQ,,Teacher
30,"Lotze, Ravindran, and Myers (2010)",USA,50,9.8,62,Community,APSD,Self,,,TOSCA-C,Self
31,"Lui, Barry, and Sacco (2016)",USA,103,16.9,32,Incarcerated,ICU,Self,GEM,,,Self
32,"Malcolm-Smith, Woolley, and Ward (2015)",South Africa,114,6.58,36.8,Community,APSD & SDQ,Parent,GEM,,,Parent
33,"Martin-Key, Brown, and Fairchild (2017)",UK,37,16.03,0,Incarcerated,ICU,Self,IRI,,,Self
34,McDonald et al. (2018),USA,291,9.07,47,Community  ,ICU,Parent,GEM,,,Parent
35,"Meehan, Maughan, Cecil, and Barker (2017)",England,6791,13,51.11,Community,IC measure,Parent,,SDQ,,Parent
36,Milone et al. (2019),Italy,60,13.27,0,Clinical,APSD,Parent & Self,IRI,,,Self
37,"Muñoz, Qualter, and Padgett (2011)",England,201,11.5,50,Community,ICU,Self,BES,,,Self
38,"O’Kearney, Salmon, Liwag, Fortune, and Dawel (2017)",Australia,74,5.8,0,Community,ICU,Parent,GEM,,,Parent
39,Ometto et al. (2016),Brazil,107,12.85,439,Clinical & Community,PCL:YV,Self,SSIA,,,self
40,"Pardini, Lochman, and Frick (2003)",USA,169,15.8,42.6,Incarcerated,APSD-SR,Self,IRI,,,Self
41,"Pasalich, Dadds, and Hawes (2014)",Australia,134,5.6,21,Clinical,APSD & SDQ,Parent & Teacher,GEM,,,Parent
42,Pechorro et al. (2013),Portugal,261,15.8,16.8,Incarcerated,APSD-SR,Self,,SDQ,,Self
43,"Pechorro, Ray, Salas-Wright, Maroco, and Gonçalves (2015)",Portugal,221,16.75,0,Incarcerated,"APSD, ICU",Self,BES,,,Self
44,"Pechorro, Jiménez, Hidalgo, and Nunes (2015)",Portugal,299,15.89,32.7,Incarcerated,APSD-SR,Self,,SDQ-SR,,Self
45,"Pechorro, Hidalgo, Nunes, and Jiménez (2016)",Portugal,438,17.15,0,Incarcerated,APSD-SR,Self,BES,,,Self
46,"Pechorro, Hawes, Gonçalves, and Ray (2017)",Portugal,377,16.23,100,Incarcerated & community,ICU,Self,BES,,,Self
47,Pijper et al. (2016),Netherlands,49,10.28,0,Clinical,APSD,Parent & Teacher,IECA & BES,,,Self
48,Raine and Chen (2018),USA,428,11,49,Community,ICU,Self,CASES,,,Self
49,"Roose, Bijttebier, Decoene, Claes, and Frick (2010)",Belgium,455,16.6,44,Community,ICU,"Self, Parent & Teacher",IRI,,,Self
50,"Spice, Viljoen, Douglas, and Hart (2015)",Canada,97,15.88,29.9,Incarcerated,PCL:YV,Self,,,TOSCA-A,Self
51,"Stickle, Marini, and Thomas (2012)",USA,150,15.2,40,Incarcerated,ICU,Self & Teacher,IRI,,,Self
52,Vahl et al. (2014),Netherlands,365,16.5,0,Incarcerated,YPI-S,Self,,SDQ,,Self
53,van Baardewijk et al. (2008),Netherlands,360,10.9,48,Community,YPI-CV,Self,BES,,,self
54,van Vugt et al. (2012),Netherlands,85,17.54,0,Incarcerated,APSD & ICU,Self,BES,,,Self
55,"Verschuere, Candel, Van Reenen, and Korebrits (2012)",Netherlands,57,16.75,0,Incarcerated,CPS,Self ,IRI,,,self
56,"Viding, Simmonds, Petrides, and Frederickson (2009)",England,704,12,47,Community,ICU,Self,,SDQ,,Self
57,"Waller, et al. (2015)",USA,240,3.42,49.16,Community,CBCL,Parent,My Child,,My Child,Parent
58,"Wendt, Bartoli, and Arteche (2017)",England,249,10,53,Community,APSD,Self,,SDQ,,Self
59,Whitt and Howard (2013),USA,707,15.5,13.01,Clinical,APSD,Self,PPI-SV,,,Self
60,"Willoughby, Mills-Koonce, Waschbusch, Gottfredson, and Investigators (2015)",USA,1078,7.3,50,Community,ICU,Parent,,SDQ,,Parent
